awb,lat,lng,city,pincode,cluster
GS2097342831,19.04846954,72.92002869,Mumbai,400088,19
GS1836092609,19.1246678,72.8958665,Mumbai,400060,4
GS1973011018,19.0281433,72.8791014,Mumbai,400037,1
GS1658353763,19.0741317,72.8286243,Mumbai,400052,16
GS1410897226,19.0843852,72.8547572,Mumbai,400055,16
GS1281644332,19.1147459,72.9394312,Mumbai,400083,10
GS1422426442,18.9346326,72.8246376,Mumbai,400020,11
GS1844838484,19.2336689,72.8558748,Mumbai,400092,12
GS1720461312,19.0605737,72.8504402,Mumbai,400051,16
GS1720461312,19.0605737,72.8504402,Mumbai,400051,16
GS1112335278,19.11640167,72.86128235,Mumbai,400093,9
GS1233498480,19.0683196,72.9058368,Mumbai,400089,10
GS1961648443,19.2189427,72.8402352,Mumbai,400092,12
GS1189148741,19.20860863,72.83745575,Mumbai,400067,0
GS1949198448,19.08483315,72.91081238,Mumbai,400077,10
GS1650893871,19.1486423,72.9395972,Mumbai,400078,7
GS1939410752,19.1991672,72.8481109,Mumbai,400067,17
GS1486867172,18.9306097,72.8249677,Mumbai,400020,11
GS1677607585,18.9295607,72.8262802,Mumbai,400020,11
GS1419162967,18.9259854,72.8224218,Mumbai,400021,11
GS2047991585,18.9994524,72.8164673,Mumbai,400018,8
GS1454245027,19.0387032,72.8457105,Mumbai,400016,16
GS1183857348,19.1732452,72.841578,Mumbai,400104,17
GS1862593011,19.2024823,72.8251471,Mumbai,400067,0
GS1622555110,19.2350556,72.9807496,Mumbai,400607,3
GS1622555110,19.2350556,72.9807496,Mumbai,400607,3
GS1622555110,19.2350556,72.9807496,Mumbai,400607,3
GS1622555110,18.9453104,72.8304674,Mumbai,400607,11
GS1912998981,18.9001523,72.8152347,Mumbai,400005,11
GS1522605990,19.0173496,72.8368667,Mumbai,400028,40
GS1622555110,19.2350556,72.9807496,Mumbai,400607,3
GS1622555110,19.2350556,72.9807496,Mumbai,400607,3
GS1622555110,19.2350556,72.9807496,Mumbai,400607,3
GS1622555110,18.9453104,72.8304674,Mumbai,400607,11
GS2036531328,19.1230432,72.8594866,Mumbai,400093,9
GS2036531328,19.1230432,72.8594866,Mumbai,400093,9
GS1872825433,19.0643487,72.89107,Mumbai,400071,10
GS1634571443,18.9182944,72.8308737,Mumbai,400005,11
GS1549732120,19.081528,72.855202,Mumbai,400055,16
GS1167970739,19.0562025,72.8318472,Mumbai,400050,16
GS2147264430,19.12380409,72.92098236,Mumbai,400076,10
GS2144148043,19.1619962,72.8352543,Mumbai,400104,17
GS1454245027,19.0387032,72.8457105,Mumbai,400016,16
GS1737099616,19.1929158,72.9953647,Mumbai,400605,15
GS1921095116,19.21317317,72.82668305,Mumbai,400067,34
GS2040102198,18.9487709,72.8355292,Mumbai,400003,40
GS1050602847,19.103536,72.9217101,Mumbai,400079,10
GS1097960162,19.0335689,72.8655558,Mumbai,400037,5
GS1864630433,19.0824967,72.8835803,Mumbai,400070,10
GS1477916484,19.1198263,72.8295767,Mumbai,400053,6
GS1763383945,19.1914354,72.8478424,Mumbai,400064,17
GS1720461312,19.0605737,72.8504402,Mumbai,400051,16
GS1720461312,19.0605737,72.8504402,Mumbai,400051,16
GS2030906057,19.11819,72.8821513,Mumbai,400059,9
GS2030906057,19.11819,72.8821513,Mumbai,400059,9
GS1036948339,19.2046875,72.8229581,Mumbai,400067,0
GS1228973076,19.2304927,72.838845,Mumbai,400091,12
GS1447971622,19.121318,72.845645,Mumbai,400058,6
GS1754180972,19.2006997,72.8413017,Mumbai,400067,0
GS1843224413,19.2159829,72.8688971,Mumbai,400066,12
GS1843224413,19.2159829,72.8688971,Mumbai,400066,12
GS2102147476,19.2106415,72.8655526,Mumbai,400101,17
GS1478931189,18.9322453,72.8264378,Mumbai,400020,11
GS1256613538,18.9105783,72.8102595,Mumbai,400005,11
GS1772671014,19.2263891,72.8581847,Mumbai,400066,12
GS1311992086,19.0676092,72.8320109,Mumbai,400052,16
GS2138365342,18.9762999,72.8241001,Mumbai,400011,40
GS2144864636,18.9792718,72.8256286,Mumbai,400011,40
GS1461746263,18.9225923,72.8294537,Mumbai,400001,11
